Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,5694.25,5782.5,5683.25,5766,5766,271968
2017-06-20,5766.75,5784,5729,5732.75,5732.75,301241
2017-06-21,5728.25,5796.5,5699,5796,5796,319202
2017-06-22,5793.25,5814.5,5770.75,5785.75,5785.75,233021
2017-06-23,5785.5,5815.5,5763,5812.25,5812.25,213552
2017-06-26,5803,5852,5768,5778.25,5778.25,311741
2017-06-27,5780.75,5784,5669,5676.5,5676.5,418001
2017-06-28,5673.75,5768.75,5632,5763.5,5763.5,396603
2017-06-29,5766.25,5776,5601,5653,5653,604720
2017-06-30,5648.25,5686.5,5623.5,5652.75,5652.75,336513
2017-07-03,null,null,null,null,null,null
2017-07-05,5591.25,5667.75,5560.25,5651.5,5651.5,392297
2017-07-06,5650.5,5652.75,5580,5596.75,5596.75,370735
2017-07-07,5598.5,5676.5,5591.5,5655.75,5655.75,266767
2017-07-10,5663,5711.5,5650,5694,5694,241360
2017-07-11,5692,5722.5,5667.5,5720,5720,283454
2017-07-12,5719.5,5790,5712.75,5785.75,5785.75,262329
2017-07-13,5786.75,5812,5777.25,5797.5,5797.5,240958
